hh_id,h_size_0_1,h_size_2,h_size_3,h_size_4_plus,h_size_3_plus,h_income_0_24999,h_income_25000_49999,h_income_50000_74999,h_income_75000_99999,h_income_100000_199999,h_income_200000_plus,h_workers_0,h_workers_1,h_workers_2,h_workers_3_plus,h_workers_2_plus,h_vehicles_none,h_vehicles_insuff,h_vehicles_suff,h_kids_0,h_kids_1_plus,h_puma_00101,h_puma_00111,h_puma_00112,h_puma_00113,h_puma_00114,h_puma_00115,h_puma_00116,h_puma_00117,h_puma_00118,h_puma_00119,h_puma_00120,h_puma_00121,h_puma_00122,h_puma_00123,h_puma_01301,h_puma_01305,h_puma_01308,h_puma_01309,h_puma_01310,h_puma_01311,h_puma_01312,h_puma_01313,h_puma_01314,h_puma_04103,h_puma_04104,h_puma_05500,h_puma_07507,h_puma_07508,h_puma_07509,h_puma_07510,h_puma_07511,h_puma_07512,h_puma_07513,h_puma_07514,h_puma_08101,h_puma_08102,h_puma_08103,h_puma_08104,h_puma_08105,h_puma_08106,h_puma_08505,h_puma_08506,h_puma_08507,h_puma_08508,h_puma_08510,h_puma_08511,h_puma_08512,h_puma_08515,h_puma_08516,h_puma_08517,h_puma_08518,h_puma_08519,h_puma_08520,h_puma_08521,h_puma_08522,h_puma_09501,h_puma_09502,h_puma_09503,h_puma_09702,h_puma_09704,h_puma_09705,h_puma_09706,h_total,p_gender_female,p_gender_male,p_age_0_4,p_age_5_15,p_age_16_17,p_age_18_24,p_age_25_44,p_age_45_64,p_age_65_plus,p_employment_full_time,p_employment_nonworker,p_employment_part_time,p_commutemode_bike,p_commutemode_home,p_commutemode_none,p_commutemode_other,p_commutemode_transit,p_commutemode_walk,p_univstudent_no,p_univstudent_yes,p_edulevel_no_college,p_edulevel_some_college,p_race_afam,p_race_asian_pacific,p_race_other,p_race_white,p_ethnicity_hispanic,p_ethnicity_not_hispanic,p_total,p_made_none,p_made_mandatory,p_made_nonmand,p_made_na,puma_group,Region,sample_weight
23000023,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,9,1,299.047007731985
23000075,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,1,1,1,1,2,1,0,1,0,12,1,211.154354573037
23000098,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,2,1,0,0,2,1,0,0,0,3,0,2,1,0,2,0,1,1,2,3,0,1,1,1,8,1,322.252256443889
23000339,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,2,0,0,2,0,0,2,0,1,1,2,0,0,2,0,8,1,322.252256443889
23000432,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2,2,0,2,0,0,1,1,322.252256443889
23000474,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,4,1,131.032370414962
23000477,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,3,1,322.252256443889
23000567,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,3,1,322.252256443889
23000679,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,2,0,2,2,0,1,1,0,9,1,689.87957270782
23000715,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,9,1,299.047007731985
